"filename", "language", "Python", "JSON", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"d:\Project\MZT\MySection\SYS\board_worker.py", "Python", 80, 0, 0, 0, 0, 6, 18, 104
"d:\Project\MZT\MySection\SYS\config.json", "JSON", 0, 53, 0, 0, 0, 0, 0, 53
"d:\Project\MZT\MySection\SYS\config_manager.py", "Python", 101, 0, 0, 0, 0, 23, 27, 151
"d:\Project\MZT\MySection\SYS\dump_manager.py", "Python", 51, 0, 0, 0, 0, 15, 11, 77
"d:\Project\MZT\MySection\SYS\emulator_worker.py", "Python", 31, 0, 0, 0, 0, 9, 11, 51
"d:\Project\MZT\MySection\SYS\gps_worker.py", "Python", 124, 0, 0, 0, 0, 54, 38, 216
"d:\Project\MZT\MySection\SYS\main.py", "Python", 299, 0, 0, 0, 0, 72, 75, 446
"d:\Project\MZT\MySection\SYS\section_engine.py", "Python", 349, 0, 0, 0, 0, 553, 203, 1105
"d:\Project\MZT\MySection\SYS\static\css\diagnostic.css", "PostCSS", 0, 0, 0, 0, 60, 1, 8, 69
"d:\Project\MZT\MySection\SYS\static\css\emulator.css", "PostCSS", 0, 0, 0, 0, 72, 1, 9, 82
"d:\Project\MZT\MySection\SYS\static\css\settings.css", "PostCSS", 0, 0, 0, 0, 279, 35, 39, 353
"d:\Project\MZT\MySection\SYS\static\css\style.css", "PostCSS", 0, 0, 0, 0, 682, 126, 100, 908
"d:\Project\MZT\MySection\SYS\static\js\diagnostic.js", "JavaScript", 0, 0, 0, 130, 0, 15, 11, 156
"d:\Project\MZT\MySection\SYS\static\js\emulator.js", "JavaScript", 0, 0, 0, 123, 0, 9, 32, 164
"d:\Project\MZT\MySection\SYS\templates\board.html", "HTML", 0, 0, 1107, 0, 0, 47, 157, 1311
"d:\Project\MZT\MySection\SYS\templates\fields.html", "HTML", 0, 0, 312, 0, 0, 12, 40, 364
"d:\Project\MZT\MySection\SYS\templates\settings.html", "HTML", 0, 0, 485, 0, 0, 13, 56, 554
"d:\Project\MZT\MySection\SYS\web_server.py", "Python", 347, 0, 0, 0, 0, 113, 80, 540
"Total", "-", 1382, 53, 1904, 253, 1093, 1104, 915, 6704
